content,label
三河段和平二手车行右转。此次团购普拉多有现车，含保质。全程参团免费,0
尊敬的客户，我们很高兴为您提供购机补贴。以下是部分优惠信息请您参考:1.NAMEmate目前仅需元；最高可获赠元的话费（更多机型折扣请咨询店内销售人员）。2.移动n等最低只需元，货源有限先到先得！已办理过同类型活动无法参与详情请致电PHONE分转满意分为不满意评价期待您的十分满意度PLACE。,0
高薪招聘:广州尚业房地产代理有限公司，专注商业地产租售，诚聘销售精英,0
我是XXX，昨日因一时冲动在公共场所与人发生冲突。现在我深感懊悔并认识到我的行为给他人带来了伤害和痛苦。为了弥补这一过失并为被打者提供赔偿以表达我对自己行为的负责态度，我希望与您取得联系寻求帮助和支持来解决这个问题。如果您愿意协助我将资金转账给受害方作为补偿金的话我会非常感激！,冒充领导、熟人类
您好，我是来自抖音的客服代表。我们注意到您的卡信息可能被误用在了代理商的身份上。为了解决这个问题并保护你的权益，我们需要确认一些细节和进行相应的操作。首先需要查看您用于转账的具体银行卡号以便取消代理身份验证过程顺利完成。请您提供一下尾号为9210这张卡的详细信息和余额截图以供核实使用；然后我们会要求你试验性地进行一笔小额转款来确保一切正常工作流程顺利进行下去以确保账户安全无误地恢复原状！,冒充客服服务
最后小时特卖，有惊喜！晚点倒计时开始啦。潮牌紧急补货的海外尖货压轴上新了哦~美妆折再享折扣优惠来喽!俏佳人快来[URL]，退订消息请回复TD!。,0
农业银行账户信息通知：您的农行卡已完成一笔交易，金额为10，234.56元。,0
尊敬的用户，欢迎您参加PLACE移动的优惠活动！我们为您提供了多种福利和回馈。只要您的月消费达到元起含DIGIT元流量包充值金额即可享受送促销积分、推荐兑换电子购物券等好礼的活动规则如下:1.活动时间自即日起至完为止;2.参与方式为微信关注PLACE移动微厅进入充多少送多少菜单发送“送积分”到DIGIT同时首次更换g卡还赠送话费及本地网络流量的详细咨询各营业厅或致电客服热线400-8593-677了解更多详情；3.本活动的最终解释权归属于上海电信全渠道运营中心所有如有疑问请拨打客服电话400-8593-677感谢您的支持祝您生活愉快!,0
“来西湖畔赏桂花吧！让诗意和远方都在你脚下。”,0
你好，是事主吗？我是公安局的警察。我们收到了一些关于你的洗钱的举报信息，需要你配合我们的调查来自证清白。你需要到偏僻的地方来接受我们的远程询问和指导操作链接提交相关信息以证明自己的无辜。请在电话里教你怎么做吧！,冒充公检法及政府机关类
之前我看你在我们群里不是想花呗套现吗，我姐夫有商户收款码，可以帮你，也刚好帮我姐夫做流水，一举二得，你看怎么样，我把二维码发你，你等会截图给我就行。,冒充领导、熟人类
我是您的孙子，我在酒吧喝多了点酒，跟别人有点冲突。现在需要赔钱才能出来回家呢？您能不能帮帮我！我现在真的很后悔也很害怕,冒充领导、熟人类
小区旁人气实高底商在国庆有优惠活动立即拿证两层现房安全保障来电就有礼HOTLINE。,0
你好，我是银监会的员工。我打电话是想通知你一件事：我们发现你在读书时注册了支付宝账号并借了一些钱款现在因为已经工作了需要将之前借款的利率下调否则会影响征信为了帮助您解决这个问题降低借贷成本我们需要通过腾讯会议APP进行指导请您下载安装后加入我们的会议室共享屏幕以便更好地了解您的贷款情况请放心这不会影响你的微信账户安全谢谢配合！,冒充公检法及政府机关类
亲爱的会员朋友，值此雅座公司品牌创立十一年之际，我们特推出五重大礼感恩回馈活动。详见店内海报或访问网站URL以了解更多信息.如需退订请回复td。,0
尊敬的用户，感谢您对中国移动的支持。我们很高兴地通知您获得了免费送手机的机会！只需在最后一天前往附近的中国移动营业厅（如邮电路、花园等），即可领取价值DIGIT元的g智能手机一部。请您携带有效身份证件以便核实身份并办理相关手续。如有任何疑问或需要帮助退订服务请回复td进行取消处理谢谢配合!,0
你好，我是朱聃，海信集团控股公司的总经理。我想和你商谈一些关于国际收购的事宜，需要你的全力协助提供资金。请你将款项转账到指定的浙江稠州商业账户。,冒充领导、熟人类
我是你侄子的朋友。我因为一些事情惹上了麻烦，现在需要你的帮助和支持来解决这个问题。我的身体状况不太好，需要进行手术来治疗伤口并支付医疗费用和保证金以确保能够得到最好的照顾和治疗服务。你可以考虑一下是否能够帮助我吗？,冒充领导、熟人类
亲爱的糯米会员，现在办理星美国际影城VIP卡立享全年超低价观影优惠！元一张的特惠电影票等你来抢。数量有限先到先得哦~点击链接（URL）即可退订。（请提供相应的网址或短信中的其他相关联的方式。）,0
饿了么推荐，美味送达家门口！更多优惠等你来拿。,0
老客户介绍新客户购车，赠送xxx元油卡。详询xxxxxxxx。本店提供二手车评估、收购、置换服务。xx小时服务电话xxxxxxxx,0
海尔携手PLACE三友DIGITPLACE酒店直销会。地址为PLCE工厂价的海尔匹空调和冰箱型号LED099询电话URLtb0000al下载优家APP赠送会员权益更多福利退订回t即可联系到海尓客服中心！,0
练歌厅将于XX月X日推出免费包房活动，啤酒买一箱赠一箱。部分品种的瓶装啤酒售价为元一瓶/小时营业时间欢迎招聘营销经理和女服务员！电话是XXX-XXXX（请填写您的联系号码）,0
“天猫分钱活动火热进行中！NAME抢原价DIGIT元的清风抽纸包全场折起还送优惠券。快来参与吧！”,0
亲，鉴于您颜值爆棚NAME（您的名字），诚挚邀请参加名为“双狂欢盛宴”的提前进店抢红包、收藏加购商品并有机会获得免单的双倍优惠活动。请点击以下URL链接进入店铺：URL退订回td即可参与！,0
您好：我是大泽置业顾问唐丽,0
您的账户已成功接收一笔转账，金额为50元。感谢您的信任与支持！详情请咨询中国银行客服：1234-8976XXX,0
置业地产新品袭来！最高平价购房狂省DIGITNAME期现房免费送。即买即可住哦~快来就定吧!电话号码是PHONE.,0
圣诞节快到了，想要一款充满魔力的玩具吗？来这里看看吧！我们精选了最受欢迎的爆款满载着惊喜。购买带有声光的名字系列粉色折后元抢购哦~详细信息请查看网站或致电热线回退订服务吧!,0
您好，我是京东金融APP的工作人员。您的贷款申请已经成功通过我们的审核了！为了方便您后续的操作和沟通，我们希望您可以添加一下客服的企业微信号：xxxxxxxxx。扫描后下载并登录京東金融APp平台进行操作即可完成放款。,贷款、代办信用卡类
您好，住朋网客服小李，八桂绿城龙庭水岸-天誉花园，龙庭新春特惠最高优惠x.x万，天誉买房立减x万，乘车地点:江南体育馆（邕江桥南）,0
我是XXX，由于一些原因无法亲自前往银行进行转账。考虑到您与领导的良好关系和信任度，我希望能麻烦到您帮忙将一个红包转交给领导作为我的感谢之意表达。因为微信出现了一些问题导致我不能直接发送过去给您添麻烦了非常抱歉,冒充领导、熟人类
老客专享！拍下留言暗号“PLACE挺旗舰店”即可享受DIGITd买一送同款的限前五百名抢购活动。请抓紧时间哦~URL链接已发送至您的手机中查收确认使用!,0
房,0
